datetime,avgMintTXGas_1d,sumMintGas_1d,mintTXCounts_1d,sumMinted_sETH2_1d,avgSellTXGas_1d,sumSellGas_1d,sellTXCounts_1d,sumSold_sETH2_1d,avgGasPricePaidOnSell_1d,mintsAvoidable_Full_Volume,mintsPotentiallyCrossableCoverage_Percentage,costOfImplementingMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_100GWEI_GasPx,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_AvgSellGasPx
2021-07-12,103568.5,621411,6,0.4248005774887257,178555.0,1606995.0,9.0,20.35812391541238,17777777777.77778,True,1.0,1044000.0,562995.0,0.0100088,0.0100088
2021-07-13,107780.375,862243,8,0.6402518770398395,232269.0,929076.0,4.0,1750.620542472414,25200000000.0,True,1.0,464000.0,465076.0,0.0117199152,0.0117199152
2021-07-14,100412.69230769231,1305365,13,1.7219997911709728,159740.625,1277925.0,8.0,13.222476381854113,34811101120.5,True,1.0,928000.0,349925.0,0.012181274559590963,0.012181274559590963
2021-07-15,91534.57142857143,640742,7,0.626478974453123,179518.33333333334,1077110.0,6.0,22.4792602661326,30866666666.666668,True,1.0,696000.0,381110.0,0.011763595333333333,0.011763595333333333
2021-07-16,105975.28571428571,741827,7,0.8053095640000001,225363.0,676089.0,3.0,6.540062601448118,54333333333.333336,True,1.0,348000.0,328089.0,0.017826169000000003,0.017826169000000003
2021-07-17,98213.28571428571,1374986,14,0.5177947267320071,148311.83333333334,889871.0,6.0,6.17978781221426,20502726908.666668,True,1.0,696000.0,193871.0,0.003974884168510115,0.003974884168510115
2021-07-18,103518.0,517590,5,0.27349999999999997,149875.88888888888,1348883.0,9.0,9.968540319518764,20144444606.555557,True,1.0,1044000.0,304883.0,0.006141698704980478,0.006141698704980478
2021-07-19,97110.11111111111,873991,9,0.5786030695545168,163460.4,817302.0,5.0,50.83488093958514,33400000000.0,True,1.0,580000.0,237302.0,0.0079258868,0.0079258868
2021-07-20,96729.81818181818,1064028,11,1.7106235224640978,165164.0,660656.0,4.0,3.2090713119380148,25109600000.0,True,1.0,464000.0,196656.0,0.0049379534975999995,0.0049379534975999995
2021-07-21,102036.90909090909,1122406,11,0.4493444485623,159934.16666666666,1919210.0,12.0,14.221967694991912,19933333333.333332,True,1.0,1392000.0,527210.0,0.010509052666666666,0.010509052666666666
2021-07-22,95739.17647058824,1627566,17,1.591199531123069,150242.4,751212.0,5.0,76.77046751212625,24200000000.0,True,1.0,580000.0,171212.0,0.0041433304,0.0041433304
2021-07-23,102304.66666666667,1227656,12,0.8217744124893266,172477.0,689908.0,4.0,30.26301681590183,15775000364.75,True,1.0,464000.0,225908.0,0.003563698782399943,0.003563698782399943
2021-07-24,100078.42857142857,1401098,14,0.6175241927928083,197411.0,1776699.0,9.0,9.877767374210185,14444444444.444445,True,1.0,1044000.0,732699.0,0.010583430000000001,0.010583430000000001
2021-07-25,97952.66666666667,587716,6,0.16473041405410002,148170.14285714287,1037191.0,7.0,31.179445575736725,16285714285.714285,True,1.0,812000.0,225191.0,0.0036673962857142854,0.0036673962857142854
2021-07-26,106432.46666666666,1596487,15,3.3638082614448317,161431.0,2421465.0,15.0,82.72041034581984,34466666666.666664,True,1.0,1740000.0,681465.0,0.023487827,0.023487827
2021-07-27,106397.09090909091,1170368,11,52.457686938913476,176036.5,1056219.0,6.0,25.973399931979614,28950000000.0,False,0.49513048416003197,344610.8169753823,178355.4078736425,0.005163389057941951,0.005163389057941951
